Gene	Gene set name	Category
GRMZM2G148323	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G003607	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G009661	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G013465	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G021604	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G028637	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G044442	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G049127	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G058525	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G093720	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G106141	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G108991	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G147885	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G161222	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G181104	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G369912	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G016930	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G041822	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G108673	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G112240	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G120202	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G137286	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G160237	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G390076	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
