Gene	Gene set name	Category
LOC_Os04g45720	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os05g44600	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os06g05209	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os06g15990	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os06g38510	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os06g48760	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os07g44660	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os07g47290	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os08g34900	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os09g32810	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os09g38030	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os10g26680	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os10g31910	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os11g08300	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os11g11060	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os12g25690	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os12g25700	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os12g37660	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os12g43664	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os01g52450	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os01g66940	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os01g67860	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os01g64660	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os01g05490	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os01g03710	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os01g02880	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os01g71320	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os01g53930	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os01g09460	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os01g09570	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os01g62420	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os01g62840	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os02g48360	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os03g02410	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os03g11050	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os03g16050	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os03g16150	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os03g18310	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os03g54240	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os04g39420	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os04g58580	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os05g07130	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os05g09500	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os05g33380	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os05g36270	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os05g44760	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os05g44922	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os05g45590	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
